Province,Cases,Year,Code_GADM,Name_GADM
KAHRAMANMARAŞ,5,2009,TUR.42_1,K. Maras
KÜTAHYA,2,2009,TUR.54_1,K�tahya
KARABÜK,125,2009,TUR.43_1,Karab�k
KARAMAN,0,2009,TUR.44_1,Karaman
KARS,0,2009,TUR.45_1,Kars
KASTAMONU,150,2009,TUR.46_1,Kastamonu
KAYSERİ,9,2009,TUR.47_1,Kayseri
KIRŞEHİR,4,2009,TUR.51_1,Kirsehir
KIRIKKALE,1,2009,TUR.49_1,Kinkkale
KIRKLARELİ,0,2009,TUR.50_1,Kirklareli
KOCAELİ,2,2009,TUR.52_1,Kocaeli
KONYA,10,2009,TUR.53_1,Konya
MALATYA,1,2009,TUR.55_1,Malatya
MANİSA,3,2009,TUR.56_1,Manisa
MARDİN,0,2009,TUR.57_1,Mardin
MERSİN,1,2009,TUR.58_1,Mersin
MUŞ,2,2009,TUR.60_1,Mus
MUĞLA,0,2009,TUR.59_1,Mugla
NİĞDE,1,2009,TUR.62_1,Nigde
NEVŞEHİR,0,2009,TUR.61_1,Nevsehir
ORDU,13,2009,TUR.63_1,Ordu
OSMANİYE,0,2009,TUR.64_1,Osmaniye
RİZE,1,2009,TUR.65_1,Rize
SİİRT,0,2009,TUR.69_1,Siirt
SİNOP,1,2009,TUR.70_1,Sinop
SİVAS,90,2009,TUR.72_1,Sivas
SAKARYA,4,2009,TUR.66_1,Sakarya
SAMSUN,41,2009,TUR.67_1,Samsun
TEKİRDAĞ,0,2009,TUR.73_1,Tekirdag
TOKAT,232,2009,TUR.74_1,Tokat
TRABZON,0,2009,TUR.75_1,Trabzon
TUNCELİ,3,2009,TUR.76_1,Tunceli
UŞAK,1,2009,TUR.77_1,Usak
VAN,1,2009,TUR.78_1,Van
YALOVA,0,2009,TUR.79_1,Yalova
YOZGAT,134,2009,TUR.80_1,Yozgat
ZONGULDAK,0,2009,TUR.81_1,Zinguldak
İSTANBUL,8,2010,TUR.40_1,Istanbul
İZMİR,2,2010,TUR.41_1,Izmir
ÇANAKKALE,1,2010,TUR.22_1,�anakkale
ÇANKIRI,10,2010,TUR.23_1,�ankiri
ÇORUM,92,2010,TUR.24_1,�orum
AĞRI,0,2010,TUR.4_1,Agri
ADANA,2,2010,TUR.1_1,Adana
ADIYAMAN,1,2010,TUR.2_1,Adiyaman
AFYONKARAHİSAR,5,2010,TUR.3_1,Afyon
AKSARAY,0,2010,TUR.5_1,Aksaray
AMASYA,36,2010,TUR.6_1,Amasya
ANKARA,24,2010,TUR.7_1,Ankara
ANTALYA,2,2010,TUR.8_1,Antalya
ARDAHAN,1,2010,TUR.9_1,Ardahan
ARTVİN,21,2010,TUR.10_1,Artvin
AYDIN,7,2010,TUR.11_1,Aydin
ŞANLIURFA,1,2010,TUR.68_1,Sanliurfa
ŞIRNAK,1,2010,TUR.71_1,Sirnak
BİLECİK,1,2010,TUR.16_1,Bilecik
BİNGÖL,3,2010,TUR.17_1,Bing�l
BİTLİS,3,2010,TUR.18_1,Bitlis
BALIKESİR,4,2010,TUR.12_1,Balikesir
BARTIN,0,2010,TUR.13_1,Bartin
BATMAN,0,2010,TUR.14_1,Batman
BAYBURT,8,2010,TUR.15_1,Bayburt
BOLU,12,2010,TUR.19_1,Bolu
BURDUR,2,2010,TUR.20_1,Burdur
BURSA,3,2010,TUR.21_1,Bursa
DİYARBAKIR,2,2010,TUR.26_1,Diyarbakir
DÜZCE,0,2010,TUR.27_1,D�zce
DENİZLİ,1,2010,TUR.25_1,Denizli
EDİRNE,1,2010,TUR.28_1,Edirne
ELAZIĞ,1,2010,TUR.29_1,Elazig
ERZİNCAN,20,2010,TUR.30_1,Erzincan
ERZURUM,39,2010,TUR.31_1,Erzurum
ESKİŞEHİR,3,2010,TUR.32_1,Eskisehir
GİRESUN,32,2010,TUR.34_1,Giresun
GÜMÜŞHANE,51,2010,TUR.35_1,G�m�shane
GAZİANTEP,1,2010,TUR.33_1,Gaziantep
HAKKARİ,1,2010,TUR.36_1,Hakkari
HATAY,2,2010,TUR.37_1,Hatay
IĞDIR,0,2010,TUR.38_1,Igdir
ISPARTA,0,2010,TUR.39_1,Isparta
KİLİS,0,2010,TUR.48_1,Kilis
KAHRAMANMARAŞ,4,2010,TUR.42_1,K. Maras
KÜTAHYA,1,2010,TUR.54_1,K�tahya
KARABÜK,24,2010,TUR.43_1,Karab�k
