"Disease","Pathogen","DataType","Country","Year","Longitude","Latitude","NumCases","LocationName","Admin_name","IfPolygon_AdminLevel","ADMcode","ADMSource","Source"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2017,10.9975565232683,8.13341672634586,3,"Taraba state","Bali",2,"NG035002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2018,10.9975565232683,8.13341672634586,7,"Taraba state","Bali",2,"NG035002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2019,10.9975565232683,8.13341672634586,11,"Taraba state","Bali",2,"NG035002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2016,8.92670732119335,9.54968407758925,1,"Plateau state","Barikin Ladi",2,"NG032001","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2017,8.92670732119335,9.54968407758925,1,"Plateau state","Barikin Ladi",2,"NG032001","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2019,3.38288092011674,9.29155735887008,2,"Kwara state","Baruten",2,"NG024002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2012,8.78294622367997,10.0801469310208,2,"Plateau state","Bassa_Plateau",2,"NG032002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2016,8.78294622367997,10.0801469310208,1,"Plateau state","Bassa_Plateau",2,"NG032002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2017,8.78294622367997,10.0801469310208,1,"Plateau state","Bassa_Plateau",2,"NG032002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2019,8.78294622367997,10.0801469310208,8,"Plateau state","Bassa_Plateau",2,"NG032002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2012,9.93005534217433,10.2429983032971,1,"Bauchi state","Bauchi",2,"NG005002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2013,9.93005534217433,10.2429983032971,2,"Bauchi state","Bauchi",2,"NG005002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2014,9.93005534217433,10.2429983032971,2,"Bauchi state","Bauchi",2,"NG005002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2015,9.93005534217433,10.2429983032971,1,"Bauchi state","Bauchi",2,"NG005002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2016,9.93005534217433,10.2429983032971,3,"Bauchi state","Bauchi",2,"NG005002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2017,9.93005534217433,10.2429983032971,5,"Bauchi state","Bauchi",2,"NG005002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2018,9.93005534217433,10.2429983032971,10,"Bauchi state","Bauchi",2,"NG005002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2019,9.93005534217433,10.2429983032971,22,"Bauchi state","Bauchi",2,"NG005002","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2019,4.26082631532545,12.4808330869825,3,"Kebbi state","Birnin Kebbi",2,"NG022006","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2018,12.09838937419,10.7970019329891,1,"Borno state","Biu",2,"NG008005","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2016,9.61420724618561,9.62822840613605,1,"Bauchi state","Bogoro",2,"NG005003","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2018,9.61420724618561,9.62822840613605,2,"Bauchi state","Bogoro",2,"NG005003","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2016,8.9216692908601,9.21744734881616,1,"Plateau state","Bokkos",2,"NG032003","Redding2021_shapefile","Redding2021"
